gid,request,reason,priority_score
100000001530983100,запросить время транзакций для точного FlowTrace,"ранг 17: в выгрузке есть даты, но нет времени",0.6089498750136084
100000006518161100,запросить время транзакций для точного FlowTrace,"ранг 18: в выгрузке есть даты, но нет времени",0.6076282160904596
100000003265158100,запросить время транзакций для точного FlowTrace,"ранг 19: в выгрузке есть даты, но нет времени",0.6039812089544395
100000008723830100,запросить время транзакций для точного FlowTrace,"ранг 20: в выгрузке есть даты, но нет времени",0.585849622573806
100000002894076100,запросить время транзакций для точного FlowTrace,"ранг 21: в выгрузке есть даты, но нет времени",0.5800133451957294
100000004135268100,запросить время транзакций для точного FlowTrace,"ранг 22: в выгрузке есть даты, но нет времени",0.5779422682208832
100000003404627100,запросить время транзакций для точного FlowTrace,"ранг 23: в выгрузке есть даты, но нет времени",0.5767437722419929
100000005660203100,запросить время транзакций для точного FlowTrace,"ранг 24: в выгрузке есть даты, но нет времени",0.5695662595844823
100000005660203100,запросить переводы < 5 000 ₸,80% исходящих в интервале 5–7 тыс. ₸,0.5695662595844823
100000003071930100,запросить время транзакций для точного FlowTrace,"ранг 25: в выгрузке есть даты, но нет времени",0.5675010797681824
100000003071930100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.5675010797681824
100000001162560100,запросить время транзакций для точного FlowTrace,"ранг 26: в выгрузке есть даты, но нет времени",0.5663987584779173
100000004707703100,запросить время транзакций для точного FlowTrace,"ранг 27: в выгрузке есть даты, но нет времени",0.5650938211492542
100000007777377100,запросить время транзакций для точного FlowTrace,"ранг 28: в выгрузке есть даты, но нет времени",0.5587921951235535
100000007777377100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.5587921951235535
100000002781227100,запросить время транзакций для точного FlowTrace,"ранг 29: в выгрузке есть даты, но нет времени",0.5527285235609392
100000002443664100,запросить время транзакций для точного FlowTrace,"ранг 30: в выгрузке есть даты, но нет времени",0.5497642348754449
100000008546855100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.538990170414516
100000005456919100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.5169606208954439
100000008438656100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.5130493556698914
100000004692798100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.5053536261325249
100000006111439100,запросить переводы < 5 000 ₸,75% исходящих в интервале 5–7 тыс. ₸,0.48523464224775714
100000006901046100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4738111547032732
100000008501413100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4465813841396423
100000005661829100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.431674420087489
100000005287097100,запросить переводы < 5 000 ₸,57% исходящих в интервале 5–7 тыс. ₸,0.43031556324914405
100000003035737100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4271952631432011
100000007939160100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.42592746954889504
100000004186824100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4182951404683977
100000007593823100,запросить переводы < 5 000 ₸,67% исходящих в интервале 5–7 тыс. ₸,0.41779791142302003
100000004180097100,запросить переводы < 5 000 ₸,71% исходящих в интервале 5–7 тыс. ₸,0.4163644002768214
100000004816564100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4135386795133078
100000003809101100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.41216924414834905
100000001746925100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4114612342694608
100000008582730100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.4039624002548746
100000006443391100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.40340343469932133
100000003684369100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.38292189539961274
100000003068941100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.37871661545636837
100000003246024100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.37663698912184873
100000000831684100,запросить переводы < 5 000 ₸,67% исходящих в интервале 5–7 тыс. ₸,0.3755638237424191
100000000343175100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.3753227726804691
100000004386331100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.37304935566989145
100000004221668100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.37140224513788894
100000005602999100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.37041255663650985
100000005124479100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.3702679836827732
100000005168487100,запросить переводы < 5 000 ₸,71% исходящих в интервале 5–7 тыс. ₸,0.3670645323231912
100000008169544100,запросить переводы < 5 000 ₸,86% исходящих в интервале 5–7 тыс. ₸,0.36423874104255916
100000007322059100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.36112084054319227
100000008443341100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.3608233770222046
100000004544958100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.3511526505526992
100000005619339100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.346622542603629
100000005382566100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.34575693950177927
100000006714366100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.33200843040298755
100000001049200100,запросить переводы < 5 000 ₸,80% исходящих в интервале 5–7 тыс. ₸,0.33154134855245365
100000006225798100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.3263533929354422
100000003016635100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.32609520188791097
100000006385877100,запросить переводы < 5 000 ₸,60% исходящих в интервале 5–7 тыс. ₸,0.3255947786229121
100000006866783100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.32475270106268894
100000001616816100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.32304842220791946
100000005022552100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.310910798831387
100000008637537100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.30830003801769346
100000001732159100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.30407592137108785
100000000926766100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.30148909064633367
100000001373265100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.30086074357024734
100000003152964100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.3008162595844822
100000001252290100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.30059383965565656
100000004765639100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.2980830327362721
100000005140601100,запросить переводы < 5 000 ₸,60% исходящих в интервале 5–7 тыс. ₸,0.29310933818817425
100000002580377100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.28965967595458897
100000002904919100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.2852023805809235
100000004622227100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.28389567427622686
100000004698193100,запросить переводы < 5 000 ₸,80% исходящих в интервале 5–7 тыс. ₸,0.2836563063950367
100000004552204100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.27615878627487367
100000008418835100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.27388453757575687
100000008314203100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.27128018381272645
100000004019124100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.2707726868327402
100000005911352100,запросить переводы < 5 000 ₸,67% исходящих в интервале 5–7 тыс. ₸,0.26545144779259255
100000003188607100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.26300264748483804
100000008516839100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.26238523131672603
100000004467157100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.26194282730113794
100000002692750100,запросить переводы < 5 000 ₸,75% исходящих в интервале 5–7 тыс. ₸,0.261471849546122
100000008650785100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.26041474270802084
100000002527114100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.25617136879790164
100000005523088100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.25451823843416366
100000005668605100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.2530435943060498
100000008761219100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.2516808123141197
100000005493505100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.24608407473309607
100000004041163100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.24449734328897946
100000002938501100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.24382672409829093
100000003977183100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.22744350161893512
100000008571433100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.22441737909916895
100000008673001100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.22420462633451957
100000005519347100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.2237161921708185
100000004975919100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.2119049943589297
100000005171642100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.21049577078018838
100000008659445100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.20700826775812128
100000003975102100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.2059893992400024
100000005834479100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.19882005150042614
100000008601794100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1954987706918429
100000003561031100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.19490878627487365
100000001677389100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.192350957093379
100000008579978100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.19000295725103336
100000000580561100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1894843539034891
100000007747786100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.18670035587188613
100000005498992100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.18599572953736654
100000006912294100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.18571328562372824
100000008680731100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1848427046263345
100000008738325100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.18368060498220642
100000004358004100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.18354021352313166
100000004007116100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.17799032647103352
100000004971871100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.17715411761179914
100000004971871100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.17715411761179914
100000004770073100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.1699099091516717
100000005367445100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.16895184069683228
100000005454368100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.16655338078291812
100000006232815100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.16569520710200075
100000004368189100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.16508603747375322
100000001429930100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.15787900355871884
100000005370580100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.15670462633451956
100000004193835100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1525596085409253
100000004193835100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.1525596085409253
100000005395727100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.15156672597864765
100000005077484100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.1446390821106611
100000001279272100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.14356011777798042
100000003054328100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.1429802853875621
100000004097972100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.14129057547127982
100000008379273100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.1405393575502482
100000005386383100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.13511743772241994
100000005409680100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.12964056939501778
100000006994985100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.12851533619793507
100000007982728100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1237473309608541
100000004269433100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.12275978647686832
100000005233755100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.1204748557708888
100000003934614100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.11969472325910989
100000001415126100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.11908451957295374
100000004388983100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1166743772241993
100000003484058100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.11552156395594218
100000004813068100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.11248398576512454
100000005485830100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.1117900355871886
100000001740277100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.11106483002067571
100000007018630100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.10860053380782918
100000003677936100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.1047951062499471
100000008522127100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.10451690391459076
100000005264990100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.10408050308165018
100000005417257100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.10158096085409253
100000004723755100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.09995284697508895
100000006249740100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.0995391459074733
100000008575624100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.09887188612099644
100000008104567100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.09808606573530161
100000005392290100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.09747064056939501
100000004508696100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.09342980668036556
100000008654653100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.09326690391459075
100000005744674100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.09203914590747332
100000008599354100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.09111376240501735
100000004714705100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.08707473309608542
100000002916006100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.08563345195729537
100000003200071100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.08445907473309609
100000008655779100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.08035030061074644
100000000806727100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.07643404710252624
100000006831291100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.07427669039145908
100000006831291100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.07427669039145908
100000004071070100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.07369016688371513
100000005413948100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.07169816537942972
100000005543136100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.07068683274021352
100000008686247100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.06928324639078248
100000001490461100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.06808384153601335
100000000456947100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000003265658100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000003349739100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000003770083100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000004021459100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000004174835100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005017150100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005087431100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005235389100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005480435100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005495722100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005550592100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005560900100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000005568407100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000008117324100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000008205000100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000008513251100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000008669037100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000008701222100,запросить входящие переводы,seed: входящие за пределами исходящей выгрузки не видны,0.06622953736654805
100000002696152100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.0655821089266715
100000008680912100,запросить переводы < 5 000 ₸,100% исходящих в интервале 5–7 тыс. ₸,0.06101667933923114
100000008619857100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.052141097625571134
100000004450649100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.04931403391796466
100000004629688100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.04567242727781819
100000007689942100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.026881180256418252
100000003951827100,запросить переводы < 5 000 ₸,50% исходящих в интервале 5–7 тыс. ₸,0.012216524722996353
