cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,fingerprints,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_payer,tracked_kzt_internal
21,1,1,0.0,100000004174835100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
22,1,1,0.0,100000005017150100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
23,1,1,0.0,100000005087431100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
24,1,1,0.0,100000005235389100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
25,1,1,0.0,100000005480435100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
26,1,1,0.0,100000005495722100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
27,1,1,0.0,100000005550592100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
28,1,1,0.0,100000005560900100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
29,1,1,0.0,100000005568407100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
30,1,1,0.0,100000008117324100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
31,1,1,0.0,100000008205000100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
32,1,1,0.0,100000008513251100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
33,1,1,0.0,100000008669037100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
34,1,1,0.0,100000008701222100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
